animal_id,age_years,breed,sex,weight_kg,body_temperature_c,heart_rate_bpm,respiratory_rate_bpm,milk_yield_drop_pct,appetite,activity_level,vaccination_status,symptoms,latitude,longitude,recorded_date,disease
LV-0011,3.4,Holstein_Friesian,Female,438.1,40.5,88,40,70.2,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.6368,74.0923,2026-08-24,Blackleg
LV-0012,6.5,Sahiwal,Male,408.5,40.8,81,28,74.4,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.2129,76.4129,2026-08-24,Lumpy_Skin_Disease
LV-0013,9.9,Murrah_Buffalo,Female,450.7,40.1,74,22,71.3,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.1607,76.3446,2026-08-19,Bovine_Mastitis
LV-0014,1.9,Gir,Female,445.7,39.3,92,44,79.4,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.1243,76.2831,2026-08-07,Foot_and_Mouth_Disease
LV-0015,8.4,Gir,Male,323.6,41.3,99,48,73.6,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",21.1913,77.0483,2026-08-24,Blackleg
LV-0016,8.7,Gir,Male,459.2,38.9,53,28,0.0,Normal,Active,Partial,none,21.421,74.6357,2026-08-14,Healthy_Cattle
LV-0017,7.2,Red_Sindhi,Female,340.2,39.8,84,24,72.4,Reduced,Normal,Overdue,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.0264,76.0453,2026-08-22,Bovine_Mastitis
LV-0018,9.8,Red_Sindhi,Female,436.6,41.3,88,48,73.1,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.0857,76.3898,2026-08-19,Foot_and_Mouth_Disease
LV-0019,7.9,Gir,Male,406.6,40.2,77,27,83.4,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.6553,76.9045,2026-08-03,Bovine_Mastitis
LV-0020,6.0,Murrah_Buffalo,Female,458.1,40.1,71,31,43.3,Reduced,Depressed,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.6267,75.7113,2026-08-10,Lumpy_Skin_Disease
LV-0021,8.3,Gir,Male,421.4,38.9,73,24,0.0,Normal,Active,Up_to_date,none,20.6059,76.6832,2026-08-12,Healthy_Cattle
LV-0022,1.2,Sahiwal,Female,533.4,38.4,59,22,0.0,Normal,Active,Partial,none,21.0168,76.9416,2026-08-17,Healthy_Cattle
LV-0023,8.4,Murrah_Buffalo,Female,423.9,40.1,76,40,58.0,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.1219,76.0497,2026-08-20,Lumpy_Skin_Disease
LV-0024,9.7,Sahiwal,Female,413.6,40.4,94,33,41.3,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.5655,73.7328,2026-08-26,Lumpy_Skin_Disease
LV-0025,3.3,Murrah_Buffalo,Female,476.7,41.2,85,45,57.5,Anorexia,Lethargic,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.7735,73.5576,2026-08-14,Lumpy_Skin_Disease
LV-0026,1.8,Murrah_Buffalo,Female,387.0,41.1,98,33,32.2,Anorexia,Depressed,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",18.5459,77.2337,2026-08-01,Lumpy_Skin_Disease
LV-0027,7.2,Sahiwal,Female,440.6,40.4,78,33,65.8,Normal,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.9619,76.0038,2026-08-01,Bovine_Mastitis
LV-0028,9.1,Jersey,Female,390.8,38.7,70,22,0.0,Normal,Active,Up_to_date,none,20.9434,74.6274,2026-08-04,Healthy_Cattle
LV-0029,4.1,Holstein_Friesian,Female,414.6,40.9,96,45,76.9,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.6949,74.0108,2026-08-17,Blackleg
LV-0030,4.1,Murrah_Buffalo,Male,406.9,41.7,105,48,64.1,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.9794,74.7802,2026-08-27,Blackleg
LV-0031,1.5,Red_Sindhi,Female,395.3,41.1,82,37,51.7,Anorexia,Lethargic,Up_to_date,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.3073,75.7148,2026-08-21,Lumpy_Skin_Disease
LV-0032,8.1,Gir,Female,419.3,40.8,96,36,77.7,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",18.8512,74.072,2026-08-10,Blackleg
LV-0033,8.8,Murrah_Buffalo,Female,333.6,38.5,70,23,0.0,Normal,Active,Up_to_date,none,20.04,74.4329,2026-08-08,Healthy_Cattle
LV-0034,4.3,Jersey,Female,380.1,41.6,67,48,86.3,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.9779,73.5454,2026-08-28,Foot_and_Mouth_Disease
LV-0035,7.7,Red_Sindhi,Female,496.3,40.3,77,28,56.9,Normal,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.1708,77.3529,2026-08-12,Bovine_Mastitis
LV-0036,6.0,Red_Sindhi,Male,433.4,38.6,65,20,0.0,Normal,Active,Partial,none,20.0693,76.0176,2026-08-14,Healthy_Cattle
LV-0037,10.0,Murrah_Buffalo,Female,506.2,40.4,86,33,54.3,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.009,76.0874,2026-08-08,Foot_and_Mouth_Disease
LV-0038,6.3,Jersey,Female,440.5,41.9,97,33,77.4,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.2328,76.7901,2026-08-18,Foot_and_Mouth_Disease
LV-0039,6.2,Gir,Female,346.1,40.9,101,34,69.2,Anorexia,Lethargic,Partial,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.6302,76.4983,2026-08-25,Foot_and_Mouth_Disease
LV-0040,8.6,Red_Sindhi,Female,272.9,38.3,64,23,0.0,Normal,Active,Partial,none,20.9387,77.4989,2026-08-06,Healthy_Cattle
LV-0041,6.3,Red_Sindhi,Female,381.3,39.0,60,21,0.0,Normal,Active,Up_to_date,none,19.3242,74.3289,2026-08-01,Healthy_Cattle
LV-0042,6.6,Jersey,Female,439.9,40.8,114,42,80.8,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.1828,77.0066,2026-08-25,Blackleg
LV-0043,5.3,Red_Sindhi,Female,489.0,40.1,75,32,84.1,Reduced,Normal,Unvaccinated,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.1644,73.864,2026-08-02,Bovine_Mastitis
LV-0044,5.6,Jersey,Female,478.9,41.0,87,43,60.3,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.4401,75.4705,2026-08-13,Foot_and_Mouth_Disease
LV-0045,6.2,Holstein_Friesian,Female,289.5,41.6,67,44,61.4,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",21.123,75.5609,2026-08-18,Lumpy_Skin_Disease
LV-0046,3.0,Red_Sindhi,Female,343.2,39.0,74,25,64.0,Reduced,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",18.8862,74.8204,2026-08-27,Bovine_Mastitis
LV-0047,8.2,Gir,Female,471.1,40.3,76,39,39.4,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.6067,75.3501,2026-08-13,Lumpy_Skin_Disease
LV-0048,2.3,Holstein_Friesian,Female,472.0,40.8,79,41,47.9,Reduced,Depressed,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.1919,76.8628,2026-08-22,Lumpy_Skin_Disease
LV-0049,2.1,Gir,Female,521.2,41.3,87,48,53.5,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.2605,76.4818,2026-08-17,Foot_and_Mouth_Disease
LV-0050,4.4,Red_Sindhi,Female,433.6,40.3,73,19,54.9,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.176,74.9614,2026-08-16,Bovine_Mastitis
LV-0051,2.7,Murrah_Buffalo,Female,422.9,40.2,84,35,35.0,Reduced,Depressed,Partial,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.9512,74.5316,2026-08-24,Lumpy_Skin_Disease
LV-0052,8.4,Sahiwal,Female,315.2,42.5,90,45,98.7,Anorexia,Depressed,Overdue,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.7087,75.6194,2026-08-01,Blackleg
LV-0053,3.6,Red_Sindhi,Female,416.0,39.1,68,28,55.1,Normal,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",21.4699,74.7894,2026-08-02,Bovine_Mastitis
LV-0054,2.2,Gir,Female,415.7,40.1,92,38,34.8,Anorexia,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",21.2988,77.4637,2026-08-02,Lumpy_Skin_Disease
LV-0055,1.6,Murrah_Buffalo,Male,412.8,40.7,77,39,37.4,Reduced,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.0692,74.9353,2026-08-13,Lumpy_Skin_Disease
LV-0056,7.1,Murrah_Buffalo,Male,307.8,39.6,74,36,50.4,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.1307,77.1259,2026-08-19,Bovine_Mastitis
LV-0057,4.9,Holstein_Friesian,Female,475.0,40.5,87,27,65.8,Reduced,Normal,Unvaccinated,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.6209,76.6143,2026-08-01,Bovine_Mastitis
LV-0058,6.1,Sahiwal,Female,399.1,41.0,92,33,36.7,Reduced,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.4234,76.2758,2026-08-04,Lumpy_Skin_Disease
LV-0059,6.4,Jersey,Female,413.3,41.4,91,30,71.5,Anorexia,Depressed,Partial,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",18.9173,73.9032,2026-08-01,Blackleg
LV-0060,8.8,Jersey,Male,526.9,40.9,83,38,36.9,Anorexia,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.7093,77.2375,2026-08-22,Lumpy_Skin_Disease
LV-0061,2.1,Red_Sindhi,Female,395.9,38.5,62,27,0.0,Normal,Active,Up_to_date,none,19.1822,75.9316,2026-08-15,Healthy_Cattle
LV-0062,4.0,Jersey,Female,471.1,39.4,80,39,45.6,Anorexia,Lethargic,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.8573,74.0634,2026-08-24,Lumpy_Skin_Disease
LV-0063,2.5,Red_Sindhi,Male,482.3,39.4,66,24,49.6,Reduced,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.877,75.7292,2026-08-22,Bovine_Mastitis
LV-0064,10.0,Gir,Female,379.3,40.7,75,40,70.4,Reduced,Lethargic,Up_to_date,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.9162,75.7594,2026-08-18,Lumpy_Skin_Disease
LV-0065,7.4,Sahiwal,Female,327.9,42.5,103,37,54.1,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",18.7265,76.513,2026-08-10,Foot_and_Mouth_Disease
LV-0066,6.8,Jersey,Female,476.1,41.6,95,30,50.8,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.8997,74.2142,2026-08-01,Foot_and_Mouth_Disease
LV-0067,7.5,Holstein_Friesian,Male,420.8,39.8,60,23,43.9,Reduced,Normal,Unvaccinated,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",21.0444,73.9911,2026-08-19,Bovine_Mastitis
LV-0068,4.8,Sahiwal,Female,388.6,40.4,68,20,66.6,Normal,Normal,Unvaccinated,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.7282,75.7082,2026-08-02,Bovine_Mastitis
LV-0069,3.0,Sahiwal,Female,398.7,38.7,66,24,0.0,Normal,Active,Up_to_date,none,19.0463,75.4391,2026-08-17,Healthy_Cattle
LV-0070,5.9,Red_Sindhi,Female,382.6,40.5,75,38,60.9,Anorexia,Lethargic,Up_to_date,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.2429,73.971,2026-08-04,Foot_and_Mouth_Disease
LV-0071,1.6,Red_Sindhi,Female,528.7,39.8,66,23,72.9,Normal,Normal,Unvaccinated,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.9828,75.7932,2026-08-17,Bovine_Mastitis
LV-0072,4.4,Sahiwal,Female,399.1,40.9,73,42,65.6,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.567,76.3762,2026-08-07,Foot_and_Mouth_Disease
LV-0073,9.5,Murrah_Buffalo,Female,368.5,40.2,69,28,62.3,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.8127,73.9264,2026-08-09,Bovine_Mastitis
LV-0074,4.7,Red_Sindhi,Female,363.3,42.2,97,33,88.5,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.5717,75.5852,2026-08-12,Foot_and_Mouth_Disease
LV-0075,8.9,Red_Sindhi,Female,497.2,40.4,70,31,62.0,Normal,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",21.3322,73.6577,2026-08-10,Bovine_Mastitis
LV-0076,10.0,Sahiwal,Female,302.9,39.6,76,25,48.7,Normal,Normal,Overdue,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.886,76.4803,2026-08-20,Bovine_Mastitis
LV-0077,3.9,Sahiwal,Female,425.8,38.5,62,22,0.0,Normal,Active,Up_to_date,none,20.5889,74.8595,2026-08-23,Healthy_Cattle
LV-0078,6.2,Gir,Male,381.0,41.4,96,39,74.6,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",18.5732,76.9804,2026-08-30,Foot_and_Mouth_Disease
LV-0079,2.7,Sahiwal,Male,575.9,40.3,76,26,34.1,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",18.51,75.3692,2026-08-24,Lumpy_Skin_Disease
LV-0080,3.7,Murrah_Buffalo,Female,417.9,40.9,103,31,58.7,Anorexia,Lethargic,Partial,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.859,73.8576,2026-08-06,Foot_and_Mouth_Disease
LV-0081,9.0,Holstein_Friesian,Female,352.6,38.7,65,25,0.0,Normal,Active,Up_to_date,none,20.0381,74.4227,2026-08-02,Healthy_Cattle
LV-0082,1.3,Sahiwal,Female,448.1,41.1,75,42,70.7,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.0751,74.5409,2026-08-03,Foot_and_Mouth_Disease
LV-0083,7.3,Holstein_Friesian,Male,554.1,40.9,69,34,70.9,Anorexia,Recumbent,Up_to_date,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",21.0566,73.6417,2026-08-15,Blackleg
LV-0084,6.0,Holstein_Friesian,Female,315.1,40.6,106,34,79.8,Anorexia,Recumbent,Overdue,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.5498,73.8045,2026-08-17,Blackleg
LV-0085,8.9,Murrah_Buffalo,Female,429.1,41.0,86,48,68.9,Anorexia,Lethargic,Partial,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.2359,74.1294,2026-08-16,Lumpy_Skin_Disease
LV-0086,8.5,Gir,Female,480.5,42.0,88,45,95.2,Anorexia,Depressed,Up_to_date,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.9775,74.0155,2026-08-11,Blackleg
LV-0087,9.2,Sahiwal,Male,514.0,41.0,80,33,53.4,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.1795,73.9634,2026-08-02,Foot_and_Mouth_Disease
LV-0088,5.9,Holstein_Friesian,Male,436.0,39.6,78,28,55.4,Reduced,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",18.8075,77.2489,2026-08-04,Bovine_Mastitis
LV-0089,3.7,Gir,Male,428.0,40.2,91,26,32.1,Anorexia,Depressed,Partial,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.749,74.0203,2026-08-29,Lumpy_Skin_Disease
LV-0090,1.6,Gir,Female,488.2,40.5,86,29,87.8,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.0626,75.6081,2026-08-29,Foot_and_Mouth_Disease
LV-0091,3.0,Sahiwal,Female,487.3,41.9,93,32,97.7,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",19.6928,74.5969,2026-08-03,Blackleg
LV-0092,3.9,Murrah_Buffalo,Female,373.2,41.2,92,42,72.5,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.1297,74.137,2026-08-25,Foot_and_Mouth_Disease
LV-0093,8.0,Holstein_Friesian,Female,397.8,38.6,61,27,0.0,Normal,Active,Partial,none,21.4025,74.2418,2026-08-15,Healthy_Cattle
LV-0094,2.1,Gir,Female,379.4,40.9,73,20,42.9,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.8927,74.7414,2026-08-13,Bovine_Mastitis
LV-0095,5.2,Murrah_Buffalo,Male,439.7,40.6,89,43,64.1,Anorexia,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.7475,74.0837,2026-08-12,Lumpy_Skin_Disease
LV-0096,2.3,Murrah_Buffalo,Female,383.4,38.3,65,20,0.0,Normal,Active,Partial,none,18.7475,76.7981,2026-08-26,Healthy_Cattle
LV-0097,2.2,Sahiwal,Female,475.2,41.1,89,36,88.1,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",21.1887,75.8791,2026-08-09,Foot_and_Mouth_Disease
LV-0098,5.9,Sahiwal,Male,443.6,40.9,77,42,66.7,Reduced,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.9519,75.3093,2026-08-03,Lumpy_Skin_Disease
LV-0099,2.5,Murrah_Buffalo,Female,459.0,41.4,79,48,57.7,Reduced,Lethargic,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",21.1155,75.2346,2026-08-19,Lumpy_Skin_Disease
LV-0100,1.2,Holstein_Friesian,Female,450.4,39.6,75,35,48.1,Reduced,Lethargic,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",21.0214,74.1968,2026-08-21,Lumpy_Skin_Disease
LV-0101,7.7,Jersey,Female,346.5,40.5,98,50,77.5,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",21.1203,77.1028,2026-08-06,Blackleg
LV-0102,9.9,Sahiwal,Female,343.4,40.4,110,40,69.4,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",20.3056,76.0302,2026-08-14,Blackleg
LV-0103,2.6,Red_Sindhi,Female,321.0,38.6,64,28,0.0,Normal,Active,Up_to_date,none,19.5777,75.8718,2026-08-06,Healthy_Cattle
LV-0104,3.8,Jersey,Female,523.0,42.0,79,37,69.4,Anorexia,Depressed,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",19.4927,75.2951,2026-08-12,Blackleg
LV-0105,4.9,Jersey,Male,510.0,38.9,62,22,0.0,Normal,Active,Up_to_date,none,20.7092,76.1552,2026-08-05,Healthy_Cattle
LV-0106,7.3,Jersey,Female,401.8,41.4,92,37,62.3,Anorexia,Recumbent,Partial,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",18.618,73.9884,2026-08-06,Blackleg
LV-0107,1.8,Gir,Female,522.9,41.0,78,21,60.9,Reduced,Lethargic,Partial,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",20.2403,74.5169,2026-08-11,Lumpy_Skin_Disease
LV-0108,7.0,Jersey,Female,363.7,40.2,76,24,60.0,Reduced,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",20.5779,76.8525,2026-08-26,Bovine_Mastitis
LV-0109,1.2,Sahiwal,Female,431.0,40.9,83,39,81.8,Anorexia,Lethargic,Partial,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.3018,77.2635,2026-08-14,Foot_and_Mouth_Disease
LV-0110,6.9,Sahiwal,Female,480.3,40.6,91,48,79.5,Anorexia,Lethargic,Partial,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.7124,74.8081,2026-08-06,Foot_and_Mouth_Disease
LV-0111,9.1,Red_Sindhi,Female,467.4,40.6,73,31,76.0,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.3906,75.9393,2026-08-15,Foot_and_Mouth_Disease
LV-0112,4.5,Gir,Female,381.7,40.5,115,50,84.8,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",21.09,75.5763,2026-08-06,Blackleg
LV-0113,8.3,Gir,Male,425.4,38.2,64,17,0.0,Normal,Active,Up_to_date,none,20.1482,76.4875,2026-08-12,Healthy_Cattle
LV-0114,1.2,Holstein_Friesian,Female,427.8,38.7,57,22,0.0,Normal,Active,Up_to_date,none,19.0837,74.1653,2026-08-04,Healthy_Cattle
LV-0115,3.6,Holstein_Friesian,Female,430.8,41.6,97,27,78.6,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",19.7406,73.9875,2026-08-11,Foot_and_Mouth_Disease
LV-0116,8.7,Red_Sindhi,Female,383.9,40.8,69,38,73.3,Anorexia,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",18.6302,76.0326,2026-08-27,Lumpy_Skin_Disease
LV-0117,6.7,Red_Sindhi,Female,499.5,40.8,73,38,46.2,Anorexia,Depressed,Unvaccinated,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.2669,74.7082,2026-08-24,Lumpy_Skin_Disease
LV-0118,4.8,Sahiwal,Female,434.4,38.4,78,19,0.0,Normal,Active,Up_to_date,none,20.7106,76.9512,2026-08-23,Healthy_Cattle
LV-0119,2.6,Red_Sindhi,Female,378.0,39.4,63,31,68.4,Normal,Normal,Up_to_date,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.3236,75.8882,2026-08-18,Bovine_Mastitis
LV-0120,4.9,Gir,Female,443.4,41.5,94,36,80.9,Anorexia,Lethargic,Overdue,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.4359,75.883,2026-08-09,Foot_and_Mouth_Disease
LV-0121,3.0,Gir,Female,422.0,40.3,90,27,85.2,Anorexia,Lethargic,Unvaccinated,"fever,excessive_salivation,oral_vesicles,lameness,loss_of_appetite",20.0989,74.7973,2026-08-03,Foot_and_Mouth_Disease
LV-0122,1.5,Jersey,Female,302.9,40.3,75,36,73.3,Anorexia,Depressed,Overdue,"fever,skin_nodules,swollen_lymph_nodes,nasal_discharge,loss_of_appetite",19.7284,75.1908,2026-08-23,Lumpy_Skin_Disease
LV-0123,4.1,Jersey,Male,388.0,40.5,96,48,93.7,Anorexia,Recumbent,Unvaccinated,"acute_fever,crepitant_swelling,severe_lameness,depression,recumbency",18.7674,76.5211,2026-08-01,Blackleg
LV-0124,5.6,Jersey,Female,379.1,39.1,61,22,50.8,Reduced,Normal,Partial,"swollen_udder,abnormal_milk_clots,painful_quarter,reduced_milk",19.3391,77.2695,2026-08-18,Bovine_Mastitis
